,Média,Mediana,Desvio Padrão,Mínimo,Máximo
Fp1,0.052060524288031804,0.45558626612334896,13.429068063154192,-26.76160745488348,28.657284137874413
Fp2,0.11487697524555811,0.1589920678261065,5.981296393554629,-16.271496140722867,15.965348097921671
F7,-0.007010752796038688,0.10521209401973741,7.645280940571722,-21.86809750519863,22.474681972385774
F3,-0.010911522028876342,-0.020372601384001043,3.7367714209309337,-14.367210594391953,11.84508301769154
Fz,3.935680439116824,4.312914494650737,77.52379543772335,-151.43332410252643,153.70006089430385
F4,1.4051572130475074,2.108324684713725,37.697944884096,-74.30477758352822,74.27069187267783
F8,-0.010786299808759559,-0.06398616932283152,35.80356653741146,-62.68534662973778,61.964378488562076
FC5,0.20079410617264526,-0.024202931866456945,7.2547306607140385,-20.22924793943352,20.427316187101873
FC1,-0.19596472979379956,-0.2206204865307666,3.5518584004187,-12.04149640945775,10.662933002845154
FC2,0.3847545387797336,0.9199788849363006,35.59476950044265,-58.28080658307877,58.62917982060144
FC6,-0.21849098224504787,-0.02288042878432539,13.450712543299169,-27.6133816869545,28.64290233683389
T7,-0.02137627573615696,0.11054313347512157,6.194875221310705,-16.91029327759865,15.612071897952035
C3,-0.3233308770633537,-0.47632972893273745,7.185685792037838,-23.895456763178775,20.069948143455836
Cz,0.1373821513126858,0.00950285062294498,3.579510318791666,-11.688044828163607,13.574167687148693
C4,0.04416052742472655,0.006335603441627813,3.2412565594381277,-10.65414851088739,12.42121939185759
T8,0.18039822936668026,0.33915039220986465,13.37305692120632,-29.522731164471203,27.861482510300814
CP5,0.43106073515263565,1.1374477682087596,35.638725496524486,-62.133705340371584,61.049093064286694
CP1,-0.40684823917525004,-0.3426016302461839,7.717392503221957,-22.717826534592582,23.127739078211647
CP2,0.13274177887502844,0.1302919147091426,3.5159669690757958,-13.125021731625367,12.6903975795587
CP6,0.07163600189089858,0.025219390053660695,3.1119186350923,-10.98402001266085,10.831587710010972
P7,0.12642692581498155,-0.1511725864510236,37.334736721610554,-74.86311890671212,70.92611498309279
