Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,Frequência
(2.2621549875443563-3.614490750004748j),(-5.04269748529927+5.695913745821722j),(-4.273017498062807+10.468120086580273j),(3.8130645229503264+0.8943644127167316j),(42.229824573214145-63.3509255685689j),(21.377633988377074-36.95786541448999j),(14.467892503888672-43.03034334962584j),(1.4124816439881824+5.410025175204938j),(4.720744896148372-5.071187937202326j),(29.202527412150673-31.841158504408554j),(19.551153207404113-17.38799777363336j),(-1.2295300262040683-18.034501632144934j),(-7.239327133566029+2.9118769815719485j),(-1.9528271636953853-8.135778428809758j),(9.906666624593099-2.99739131431678j),(11.620147703093146-5.8980594035774985j),(-26.077382571861047+30.83823605312023j),(10.215244585603607-13.291807462538367j),(5.776986284371002-3.352354355159388j),(-8.189288819273068+12.276754464641208j),(-24.112313202069675+18.503011191617222j),53.5
(2.4670558113078345-3.107420153498081j),(-4.916284105583086+5.709826640511027j),(-5.181177727048367+10.401575985902275j),(4.06549508554675+0.40174785896909126j),(42.03736129318025-63.43709307827429j),(20.901416007553248-36.71307839630984j),(14.465425506479905-43.04665405807697j),(1.1315950295526367+4.692611137520851j),(4.941031105363623-5.080686302242317j),(29.108944868183553-31.61434421211348j),(19.375990627527106-17.212892267364097j),(-1.1694218221044768-17.708352439515313j),(-7.586501430206669+2.656873232755431j),(-1.688702157203676-7.76585025636763j),(9.73321860571997-3.3520371295146303j),(11.431487282475398-5.794599703359269j),(-26.76847636941153+30.553865710188536j),(10.302622926647143-12.945022132957861j),(6.101230582234644-3.9068188943838367j),(-8.134373287339876+12.13279592799987j),(-23.880298389747356+18.5990625091986j),53.6
(2.096579036801181-3.071527731750219j),(-5.582860228582341+5.9225932422332335j),(-4.798783358657702+10.733529622188836j),(3.7869079443066296+0.5362115730093576j),(42.3988132854322-63.20409943857845j),(21.377876776107-36.88226808304215j),(14.329816347315024-42.594224722979924j),(1.4032362826979536+4.821712684676161j),(4.807158000326519-4.846445466937775j),(29.066654046065803-31.677826387381792j),(19.365773213277734-16.975399190845707j),(-0.8732316880709381-17.66319700629923j),(-7.103794548887073+2.8289480473288076j),(-2.047410648237701-8.250464670508284j),(9.657573625520492-3.099016118191507j),(11.082420874930323-5.842645699960226j),(-26.056280116464528+30.6562662500112j),(10.897890546465486-12.421643436834161j),(5.589650302238914-3.788405820036002j),(-8.201714851078686+12.043984553199953j),(-23.607253093777743+18.811348712398363j),53.7
(2.5087846460566157-3.2633461966742496j),(-5.066513434274039+5.179027544737176j),(-4.998851003852706+10.989106263314731j),(3.546555490642635+0.7127674820264591j),(42.143001351420715-62.59575108878962j),(21.39994507247735-36.95843895749307j),(14.599026311262499-43.04036309533486j),(1.934754849267435+4.903762402431277j),(4.5907897449073385-4.869249700492517j),(28.73901613221964-31.675402272631956j),(19.019536586395187-17.480105647663745j),(-0.9493541876854366-17.706344021946798j),(-7.415797885847115+2.439489281372058j),(-1.893985174667261-7.997678368562038j),(9.634119398844646-3.519035960975641j),(10.95659786728529-5.824967032284103j),(-26.176026614429873+30.479680378116143j),(10.237602753254084-12.936586637045345j),(5.7485524691121395-3.8598715409900284j),(-8.230479164040734+12.212183374962779j),(-23.603601672779437+18.002872960306505j),53.800000000000004
(2.3199182569470658-3.141913012498893j),(-5.358550214332858+5.415223527144446j),(-4.770995766759832+10.549053806964771j),(3.5878964426461692+0.5631580746706035j),(42.180621406971945-62.60160608742092j),(21.243906167223933-36.78010785351714j),(14.634084133905986-42.716151597739724j),(1.0161363361037434+4.557077367973967j),(4.85287697427367-4.882980785490497j),(28.851441606709038-31.739514679970974j),(18.94153922801144-17.13708982568347j),(-0.8836725834582211-17.671659663104382j),(-7.520060527800771+2.9219507943473992j),(-1.587700556292619-7.984197747743195j),(9.668258393594996-3.3524592761216976j),(11.020271685833167-5.61951898527948j),(-26.14130402016245+30.669844206658446j),(10.358501511399567-13.329976097681229j),(5.814410049967474-3.4241495067438645j),(-7.896548958242751+12.159932606223474j),(-23.60871355903853+18.66120381118103j),53.900000000000006
(2.547691643202125-2.7421164900946935j),(-5.20433713861939+5.335455678903054j),(-4.807405618627978+10.62944314158613j),(3.5654982993266646+0.7868479596515581j),(42.212711498112945-62.333347713060846j),(21.17022073351827-36.445450194612924j),(14.4388287855304-42.34796722894851j),(1.5576598523363159+4.95167374614169j),(4.755916794644505-5.0487346584181765j),(28.963015812216145-31.552461682219814j),(18.423305902510137-17.271951346389468j),(-0.7780900747352053-17.552200892770692j),(-7.204291216136331+3.302522277635048j),(-1.5650170612242897-8.019129821823986j),(9.583107505887568-3.214290557809866j),(11.19065539670921-5.9475258278695975j),(-26.232174254554344+30.419885194153743j),(10.343396353265687-12.877566529542925j),(5.711236711811489-3.7556358795266434j),(-8.076646781616267+11.929528595837679j),(-23.801486322094437+18.302682325483588j),54.0
(2.814511224802409-3.114791012811949j),(-5.335087537556044+5.661831691267501j),(-5.019168670969565+10.634947339312067j),(3.437771121216395+0.8097873193181555j),(42.27413916188061-62.4110658855043j),(21.536813197742156-36.17761118030982j),(14.557437538601313-42.19829071208861j),(0.8212705531570847+4.285867337343712j),(4.68765490963936-4.854585796337643j),(28.679908450722845-31.55334871409582j),(18.55553720560795-17.49110770641956j),(-0.35861839749742375-17.487883348550394j),(-7.368310160498368+2.7174280154187116j),(-1.8339925872876117-7.9409061103383936j),(9.43999411150574-3.115216430682226j),(11.157268948125315-6.04938054145628j),(-26.288201981714064+30.215768262638324j),(10.353714068527777-12.841289468003625j),(5.71931044169185-3.9205903468576535j),(-8.213347434509817+12.136748740682947j),(-23.520714232560266+18.594108229322728j),54.1
(2.1730309586223537-2.6773281025214555j),(-5.312316279917235+5.2299714299560645j),(-4.867360175227457+10.52429207132425j),(3.530418127662988+0.6264286342356362j),(42.19706205570266-62.09895502298488j),(21.062936565663705-36.392470124450355j),(14.514214238034555-42.04666270206514j),(0.977191645299007+4.780116693799647j),(4.877982229324587-5.0871342240225434j),(28.916838731858935-31.276953114074686j),(18.884391023228652-17.26145929998541j),(-0.5019896195600075-17.319280051391562j),(-6.945250317165792+2.8076165567130644j),(-1.553129182089151-7.947485189967346j),(9.433068356988114-3.23883998284267j),(11.49489031210592-5.67449567354997j),(-26.179479183123497+30.378024203977514j),(10.227650939563302-12.659527333874056j),(5.659650413109965-3.6825960864949128j),(-8.167155899551522+11.811935847871473j),(-23.693779330650777+18.26378174165751j),54.2
(2.3892182980560244-2.553043356881874j),(-4.802265248008183+5.201681909218447j),(-4.68988874324808+10.544074246328037j),(3.5501411710670787+0.7675004784729924j),(42.26746942457035-62.00300972914303j),(21.296088384971846-36.18646739840695j),(14.615265906207572-42.06159492787063j),(1.3214959703649187+4.036681824431804j),(4.894393994080676-4.828308138741541j),(28.901637113528604-31.224884312058002j),(18.602457547182013-17.45231752322612j),(-0.6076535330172819-17.478860777961973j),(-7.510244121196081+2.955896021127975j),(-1.3920851899049698-7.881184996146187j),(9.425820860793202-3.4333028757554214j),(10.931021904716541-5.62690971214873j),(-26.20050768526639+30.169445610385566j),(10.173055820535431-12.91771192396362j),(5.595330686936617-3.6853275593901156j),(-8.238400683850504+11.619202664762042j),(-23.72550968836969+18.302377540510385j),54.300000000000004
(2.580536576674916-2.5449673913347937j),(-5.000932286318706+5.3573930337199265j),(-4.757694889424511+10.251538546118862j),(3.231405074942358+0.8551993585584947j),(42.055016639201085-61.69987463261074j),(21.56755666918614-36.07933698217824j),(14.458110000975836-41.75798121644694j),(1.097193082551783+4.934428346356575j),(4.886176995309052-4.882452777868757j),(28.831593756424567-31.399536656104928j),(18.406321132837736-16.82443594042598j),(-0.5773728070395219-17.3666367259922j),(-7.079745763806187+3.2252218055586424j),(-1.432506897852071-7.926002040480169j),(9.302197870967316-3.2809749739793235j),(11.069365194315296-5.460103244655736j),(-25.92933460899536+30.29216593951358j),(9.972459032655319-13.005035559579865j),(5.729620932132395-3.4465003454627663j),(-8.158281331029016+11.915252620518398j),(-23.59061586592542+18.110497851250905j),54.400000000000006
(2.5246002615000136-2.6778757771350445j),(-5.147586588445483+5.272652684365362j),(-5.119743291723303+10.584545763450826j),(3.4368290140522078+0.7049086226530747j),(42.28408586554253-61.55954619999362j),(21.54375371143285-35.81579428453821j),(14.864151880865315-41.46957770985671j),(1.2280684938824749+4.384164158499789j),(4.84159350348605-4.90123113884728j),(28.766740432707824-31.352771083030184j),(18.28062452587642-17.018519517936014j),(-0.15802846440763885-17.109274485566488j),(-7.124532738039538+2.6669779329770584j),(-1.4613193144307361-7.80301440539586j),(9.53677031621062-3.3742230255764767j),(11.032131823534286-5.579084934854404j),(-26.140656745979655+30.149035751826368j),(10.24959287792996-12.379925004269994j),(5.753899171640237-3.408902081844483j),(-8.140708840074943+11.794784401020731j),(-23.481620889931186+18.124904163623224j),54.5
(2.4640459336901857-2.5999219200909525j),(-5.206120535856788+5.43663535876739j),(-4.920191373963737+10.347416203206716j),(3.35254015575041+0.7448591374454665j),(42.29033669135457-61.4983922116658j),(21.507622114066248-35.56874916715663j),(14.945662776758756-41.43292194056018j),(1.2844863081192948+4.850631112951561j),(4.86176550003082-4.793653274029634j),(28.79644031757298-31.33448596383831j),(18.466439494922305-17.01866538201623j),(-0.10896287191139464-17.197871789798594j),(-6.961170415726805+2.8467904662856895j),(-1.4224382089363399-7.913948997254021j),(9.387899736985403-3.2800665604521324j),(11.076796072746145-5.474417661768214j),(-26.020467853616772+29.947904719163436j),(9.81318456207728-12.69466158423306j),(5.804995705107846-3.626577727999381j),(-8.183407019098016+11.714737729754017j),(-23.49578022404597+18.239389697659735j),54.6
(2.5597398929406694-2.5951299006870414j),(-5.236617580654308+5.204883182978279j),(-5.068505006899176+10.185107535518473j),(3.5226785180993616+0.787094540830493j),(42.19455069328976-61.223401351876475j),(21.548310061334725-35.594808428072795j),(14.831685388682637-41.267500330593116j),(1.148997516970251+4.561864706956076j),(4.939930951254762-4.8477408966191895j),(28.750844982417455-31.209733293274287j),(18.50884161766772-17.050110557216193j),(-0.08274885910148466-17.20905477286076j),(-6.999510813226927+2.710600573890119j),(-1.3325748611027421-7.868404506457363j),(9.253672170153244-3.328495210604599j),(10.94673190880707-5.723455172025243j),(-26.025503244669416+29.98630737901258j),(9.899996775237312-12.69562911086971j),(5.837773063424233-3.6024452157872435j),(-8.1207534106831+11.650528639095523j),(-23.487696614756484+18.30031473378453j),54.7
(2.4915333006050737-2.6232469242546053j),(-5.150724855808935+5.1397724756506715j),(-4.971992056818493+10.402843537562399j),(3.438744217508633+0.8609718178452539j),(42.28972641762343-61.23546128090472j),(21.645597288598687-35.49846359468745j),(14.943643764395166-41.20035867660749j),(1.0639794856074722+4.57301041008283j),(4.907501797790841-4.69565852814569j),(28.749676982081983-31.13839412629989j),(18.142247706151622-17.15668387723153j),(0.050638614637819046-16.900599499409203j),(-7.178438045116728+2.8537402109861816j),(-1.2961823177656928-7.808155802896193j),(9.391066794175456-3.432218606842783j),(10.772936853897502-5.504613642138818j),(-25.83250008164278+29.958465708926106j),(10.041837515303982-12.822054926384858j),(5.726934478300771-3.500355859852936j),(-8.11961448942053+11.581845692512665j),(-23.327241428749538+18.321348711722344j),54.800000000000004
(2.443366484002386-2.413556778083702j),(-5.131481762024158+5.297337960675595j),(-5.049550005641253+10.207985020489815j),(3.3642456768365463+0.79857933295348j),(42.29088486969103-61.055297166791114j),(21.691865048864756-35.35434033584886j),(15.087330648677987-41.04044623011893j),(1.0870883338688113+4.582071789921896j),(5.001648349612864-4.839850756641614j),(28.794508455025245-31.014144377901687j),(18.313208693074863-16.982717840578214j),(-0.0012809558789079745-17.029439394695267j),(-6.8505826312060165+2.857603612383004j),(-1.2333346431136931-7.704134450731237j),(9.271723933508417-3.429561413738881j),(10.899844418032657-5.521092161793963j),(-25.886254263075646+29.781528088552804j),(10.173225016527603-12.730119225817205j),(5.723005796584374-3.6124542264600805j),(-8.086026485244282+11.533214260453764j),(-23.40222418008014+18.24476941144245j),54.900000000000006
(2.4970722816352753-2.4207401387450105j),(-5.081340813691289+5.254107699201986j),(-5.220953057643312+10.233101193774147j),(3.3749029654375935+0.7789460939064696j),(42.259860071430595-60.84679953656132j),(21.66195062526419-35.21587363830199j),(15.047995658043249-40.84280896061071j),(1.0193924825036476+4.584771304877648j),(5.038141030243841-4.7587150551379125j),(28.802433654776898-30.99649303619679j),(18.15081747694218-16.935517981845784j),(0.1783545161144442-16.882417952003777j),(-6.927857174178432+2.7380648275893975j),(-1.1847782315733442-7.698788320850268j),(9.201131625906754-3.403140826373935j),(10.835015887915326-5.53647690150132j),(-25.840331618122832+29.70758244995139j),(10.118748551906041-12.765605535139969j),(5.747240722272103-3.5803559879074704j),(-8.081479917029+11.589817904390996j),(-23.368611429257086+18.192566012054797j),55.0
(2.497883060153396-2.4058456206978605j),(-5.0907651944166865+5.242408080235528j),(-5.186920936956106+10.187159016601516j),(3.3168741200276335+0.785486320200846j),(42.24819127456375-60.690441682776594j),(21.74877197123168-35.08109457716546j),(15.127390345263915-40.66600077272133j),(1.0424455122156928+4.535998684873782j),(4.995886888144594-4.72189572926132j),(28.7841117647232-30.933459032408475j),(18.100089648836107-16.966462156364187j),(0.2199169967272958-16.809062061657727j),(-6.898557934478674+2.7703971632273294j),(-1.1437830003823173-7.647834820679801j),(9.199596553209044-3.403704141431273j),(10.801471784657855-5.506734702946318j),(-25.790537765296875+29.64770248052914j),(10.117046199844449-12.761565627139438j),(5.732357416062259-3.569337543467384j),(-8.07834641760597+11.50947868918933j),(-23.316262574937596+18.198320562275686j),55.1
(2.505499225053395-2.380541877945994j),(-5.097102773315115+5.203200570193578j),(-5.213638467465216+10.194539253152044j),(3.322238743529713+0.7830388006098161j),(42.26563155881536-60.51525774123833j),(21.77096710454366-34.95027662720183j),(15.186250014477551-40.528999767049854j),(1.000463116157686+4.484498691403729j),(5.006685777374411-4.723023922939873j),(28.76808182569773-30.87048405267651j),(18.035207741830057-16.926140319126155j),(0.278172720650133-16.768380760480404j),(-6.872262870851404+2.760689632699993j),(-1.0867838454165977-7.616756027975932j),(9.183453994625193-3.391144753706552j),(10.775839997972973-5.524534399488164j),(-25.77724144211944+29.566912732949675j),(10.124221657761609-12.753935694529304j),(5.759104156561289-3.563801384491464j),(-8.065331448767076+11.484658493686641j),(-23.31333306597889+18.148037174710762j),55.2
(2.5652778171913724-2.318655202618686j),(-5.0726039100856735+5.254743431637957j),(-5.19257741808008+9.94746166366076j),(3.3586605021387204+0.8187746357968368j),(42.2717268005421-60.340326050130855j),(21.822645067222155-34.796261962743664j),(15.358791720503588-40.319112783436196j),(1.0293465685568393+4.490156435666021j),(5.011507192010981-4.681551752174425j),(28.788967247046504-30.8318059326678j),(17.99879119549989-16.95530284834816j),(0.36641880877031596-16.688983855765734j),(-6.9611995405377165+2.7832430074220866j),(-1.0058898481966096-7.545981418887628j),(9.106654064576034-3.4620881465194833j),(10.844500114208795-5.4505793044817j),(-25.77942100372519+29.44235048503362j),(10.053847462652875-12.84136105023714j),(5.6787582757486526-3.6030294633868616j),(-8.062181983825084+11.4411528762461j),(-23.277402881619594+18.178437650330167j),55.300000000000004
(2.4940297575945074-2.3233953299510652j),(-5.086376902885393+5.237624212211491j),(-5.202024822231156+10.145938431539236j),(3.2778501976031524+0.8418774636243j),(42.29614453869895-60.20863139644227j),(21.78535335963104-34.67373444705005j),(15.323645835684214-40.081617900465574j),(0.8221068845693651+4.326220974721458j),(4.995787336574331-4.621811258818006j),(28.766500736214038-30.72955744145282j),(17.977876276063128-16.800972527640695j),(0.3589913167135492-16.61668319570085j),(-6.857111080379404+2.766325880390113j),(-1.1100467917367904-7.631838280189444j),(9.147727815665691-3.371855291770496j),(10.698481267727395-5.417672619150274j),(-25.78600487344059+29.373939185837585j),(10.051844091197806-12.770709077296917j),(5.776550310687057-3.4697323523665706j),(-8.064683576916654+11.359942713416261j),(-23.200921241218158+18.12893098896935j),55.400000000000006
(2.5180302500134815-2.3544195017242195j),(-5.063602960333874+5.1400135965698635j),(-5.333942528706878+10.32239500472933j),(3.167847082623581+0.7212448625160626j),(42.257299831198225-60.05350039934726j),(21.835542508554568-34.49065837797553j),(15.296724298124495-40.01894328301404j),(1.0471753354282374+4.663016659769795j),(4.952864319075125-4.693189353869966j),(28.71573350992866-30.724484351524378j),(17.937923525122233-16.863873866310403j),(0.6233289393276067-16.71844252483193j),(-6.863233516690066+2.8074793734846324j),(-0.8400524421510198-7.5904219901688865j),(9.113573481722927-3.3996310898763493j),(10.754829203097728-5.397304124386416j),(-25.411862306980254+29.310603932822044j),(9.800786462098474-12.797490828782848j),(5.837651130139909-3.5028141457542485j),(-8.012994838093288+11.3592128212169j),(-23.17296528259598+17.98789831190241j),55.5
(2.4937959206726816-2.3598050734774354j),(-4.8993473280067334+5.219570189933716j),(-5.060983515035838+10.11759947665778j),(3.335012611683485+0.8451786731856288j),(42.27259923984731-59.76888548955846j),(21.781354999696706-34.5351656299066j),(15.51945642262072-39.98043225339307j),(0.7387125886982862+4.474648385105806j),(5.123227271821953-4.7810038012764196j),(28.722612599697385-30.79037986790094j),(17.8400289652972-16.830393847473687j),(0.5806521622491694-16.48316110093359j),(-6.766522985053811+2.3150900209064744j),(-0.9459764512177298-7.6870802645278715j),(9.164959081340847-3.341957138176774j),(10.646665379908441-5.526322811328626j),(-25.33639144120108+29.106928958705424j),(9.898952670624325-12.641490474893544j),(5.823825305467642-3.4572288786063368j),(-7.999909360210303+11.363579510065588j),(-23.023543240069017+18.04874131434631j),55.6
(2.7193889515276837-2.27322089263874j),(-5.037209730711858+5.168170221549608j),(-5.528421291932247+10.09579530077498j),(3.0528288077192904+0.8497034027491992j),(42.08397858232514-59.69195132083448j),(21.814692313788683-34.586439755789144j),(15.453617655845573-39.878341111144266j),(0.5310277127446206+4.146073885451969j),(5.062730257836591-4.676824192180629j),(28.616061659819035-30.5175828467949j),(17.63500676994891-16.75355240150452j),(0.7487285852178385-16.53251633165398j),(-6.820095503294295+2.7856964662449j),(-1.0248082961835008-7.549881903245506j),(9.127611754074625-3.613358142558983j),(10.514344152828428-5.4931195149328556j),(-25.517762655951827+29.124108002064503j),(10.19934383418353-12.498261953050559j),(5.748181721523952-3.6330726136979266j),(-7.963849214407205+11.398221549573844j),(-23.414915348394818+18.150307099754187j),55.7
(2.4330629882339725-2.4219730563232247j),(-4.7855412302142+5.039283742607214j),(-5.047102407013284+10.193203016307542j),(3.136947702257987+0.7873648012947072j),(42.37289424520463-59.27841493004433j),(21.95962426839715-34.383909650257735j),(15.5335559516515-39.48510936645571j),(0.696098475915548+4.6786236659316955j),(5.158015360997474-4.795397670128828j),(28.777284447570633-30.41360851782065j),(17.945416931277904-17.04470237916579j),(0.8350808173881568-16.68957702266103j),(-6.848085667448466+2.73528842290256j),(-0.8178624176194953-7.371168096346505j),(9.009982837798518-3.454169274068442j),(10.656368431273544-5.335170057026843j),(-25.883693612243235+29.2068784613166j),(10.032317537800907-12.714670240838288j),(5.764388428136563-3.233404025634984j),(-8.167119513534729+11.234362293542278j),(-22.891785877466834+17.858945985071202j),55.800000000000004
(2.6835210683514923-1.7704177448327407j),(-5.073423538188353+5.1777977882489274j),(-5.148673333219115+9.776165990007527j),(3.6183694395998067+0.4683345480269452j),(42.31352973753225-59.3162947088813j),(21.90659288225268-33.952254536628956j),(15.601624666750574-39.51429775429092j),(0.8516908648336319+4.483981470196248j),(5.1108741583521216-4.838838710067842j),(28.709956180675363-30.75864450391319j),(17.65027008210881-16.78553617201473j),(0.548234092625421-16.393595561829603j),(-6.783454446694265+3.0418039387524303j),(-1.023171448977111-7.331041853729613j),(8.809175810064998-3.5021105667509396j),(10.612900216124409-5.112307677121599j),(-25.837480696301313+29.20544418110859j),(10.49279302869548-12.634287110754114j),(5.580673118559915-3.4254271050883442j),(-7.968954596498198+11.125744923597738j),(-23.28461217154566+18.140688149359505j),55.900000000000006
(2.506094682338798-2.1055325985091358j),(-5.193114739928035+5.1229717610163235j),(-5.803904254511643+10.239426176695602j),(3.087978650977778+0.8049599185881391j),(42.21184133585654-59.16843786424202j),(22.332056529797867-33.982645317227934j),(15.565608448143209-39.05358099971123j),(0.36327811008474065+4.4738541959002305j),(5.219754049249481-4.536602222429219j),(28.41044553250997-30.489373181510594j),(17.52268758986928-16.88160941428989j),(1.0650949967023422-16.28221669275684j),(-6.5323645522675875+2.7997021361557444j),(-0.8787400664990059-7.545436976929601j),(8.945286280898614-3.349866920802512j),(10.67168698041726-5.2576563118550705j),(-25.930422062500554+29.262544103546567j),(10.371829165876697-12.600681241299313j),(5.585633444554432-3.6101901039669677j),(-8.06948198670483+10.940121959279772j),(-23.278596118057457+18.04919835631233j),56.0
(2.5949484227232644-2.314532750148391j),(-4.769627843587976+5.297521358632828j),(-5.503762631027065+9.647082614308765j),(3.2664462549794955+0.9662273245450095j),(42.369248635331616-58.893143374061324j),(22.159014202337293-33.70736836764458j),(15.675942828343501-39.39530675704678j),(0.6463107725157258+4.0897694366887265j),(5.325989187519681-4.899382814618896j),(28.794324809045328-30.428852592351717j),(17.65653069710776-16.88404566590562j),(1.0774520505515994-15.925000226045913j),(-6.865190435226975+2.7478449999514396j),(-0.6739539191487651-7.498675766183672j),(8.868214652122155-3.5977587820992856j),(10.440319145003805-5.437428980981675j),(-25.72656344354317+29.100394716322455j),(10.273267779206677-12.572674569695351j),(5.6307307506082935-3.4438107469371175j),(-8.099162644303433+11.111068628746889j),(-23.080631433912096+17.516548879623294j),56.1
(2.5899920587946212-1.8067062651143004j),(-5.058349272315489+5.342633915119016j),(-6.04410705533865+10.024122492193285j),(3.1696139371237635+0.7064754776208915j),(42.386237234285474-58.959645953243886j),(21.890889799864183-33.61012040147928j),(15.948372124982725-39.060532330917326j),(-0.011081545992325914+4.216623360258431j),(5.3215968148780775-4.640035616822155j),(28.637353066855834-30.464020689895445j),(17.52785665889635-17.017740078912567j),(0.9720302924989497-16.139239113353476j),(-6.778283099409549+2.9948175324244204j),(-1.012919043743267-7.413956036154104j),(9.008981118960016-3.642364645305179j),(10.531568319766622-5.488870069737994j),(-25.527555960169277+29.084070831995717j),(9.969656197621516-12.264423702134238j),(5.740056444254305-3.4372710619961993j),(-8.046866996717629+11.234401153901427j),(-22.989359482410123+18.348270561921794j),56.2
(2.7537813604017245-2.2057425186107906j),(-4.835959763372353+5.073739018893271j),(-5.45379752379376+9.651520051839263j),(3.0530040168420953+0.7717319460995924j),(42.493250404856575-58.668865041258j),(22.293198973140335-33.509179158448724j),(15.881862680579594-39.19194061963499j),(0.905451779478943+4.536721367867187j),(4.96577837291551-4.607838860698251j),(28.628809442700355-30.232357800744666j),(17.372030421091836-16.854864775240898j),(0.9299250961275192-15.810721771049831j),(-6.801643378307322+2.9790138520367844j),(-0.6354891721712228-7.341728611031606j),(8.83898511801997-3.1289438489980004j),(9.699048830740868-5.383284445282495j),(-25.64300072881933+28.63404260590032j),(10.250940817253088-12.132741074209552j),(5.655607774032735-3.125352519935504j),(-8.203395004428273+11.165159543863012j),(-22.800276433984475+17.768777222520335j),56.300000000000004
(2.920561085165744-2.162812528144748j),(-5.156565405539155+4.983159308314713j),(-5.650818670798799+9.707812231857488j),(3.022438865235042+0.3942205135166006j),(42.225732464800075-58.35675024593942j),(22.239348953682324-33.96234252192127j),(15.751979337808958-38.81385870229724j),(0.0868071192770028+4.24057185252164j),(4.937774034483952-4.452926756263643j),(28.819882954930698-30.165131815804187j),(17.70935030299184-16.82274506900154j),(1.0525377239845426-16.4139887400396j),(-6.751931356851728+2.048430951105301j),(-0.8951924279967365-7.39831085748483j),(8.514351495208466-3.356788647727079j),(10.92778789080042-5.107037854274552j),(-25.580872002786858+28.250541159310544j),(10.370299528265498-12.004331253482459j),(5.7949404593327305-3.5227694197984007j),(-8.016526266869484+10.949379578890735j),(-23.133112054111635+17.69435046681656j),56.400000000000006
(2.625665159774968-2.11342509758164j),(-5.33585045970753+5.44697840371019j),(-5.488017578750835+10.016092861294908j),(2.8815888416140893+0.9803401805983185j),(42.15009138250195-58.214849626693706j),(21.995941876756426-33.37842795611665j),(15.520257712847553-38.996168529382885j),(1.0086486499044298+3.920038614316894j),(5.574474828963115-4.503101557111652j),(28.505898782191537-29.99266838231476j),(17.342704613223365-16.727289334562435j),(0.9640972682656948-16.22581094395185j),(-6.042565105040346+2.7580607439242755j),(-0.7817094988241653-7.31231590516315j),(8.680069445663818-3.479599325917235j),(10.970917482291958-5.508041478630204j),(-25.731091868513676+28.225956571049863j),(10.462928311107788-11.947368463424972j),(5.736030946590077-3.0935066528857647j),(-7.968925424278929+10.837357205265352j),(-22.52173242879119+18.31915669965258j),56.5
(2.797513910499946-2.016438860484719j),(-5.003733237398091+5.222455839995076j),(-5.165216261859273+9.784584594970006j),(2.8221508665527644+0.7822580544472792j),(42.40367565078599-58.210387690920626j),(22.51192318545217-33.566178210601635j),(15.54789036341476-38.37827183121961j),(-0.12404761968073075+4.304170063647653j),(5.282404306848768-4.743003484838663j),(28.85990983628978-29.95937647877426j),(17.376278534691266-17.171819436501963j),(1.3917390331006914-15.631422326777379j),(-7.412629754469151+1.9358236011783987j),(-0.49122400705514124-7.801780909016205j),(8.513872202965189-3.6495057427587483j),(10.229451588878788-4.557901353529047j),(-25.875308449231966+28.906848925358318j),(10.289152105427796-12.242133358720587j),(5.8353440639237775-3.5210295588880958j),(-7.4063163682850615+10.684611358448848j),(-21.722380888933344+17.747471055259695j),56.6
(2.781914802784975-1.9421713057784373j),(-4.8381215103301045+4.750365315795591j),(-5.549674886529118+10.128519779030277j),(2.9617511196387807+0.8299793360745156j),(42.521406071261396-58.09003991541179j),(22.13983480996825-33.15702174706466j),(16.10194734271502-38.34879098949725j),(1.078756670826988+4.298179150245726j),(5.0617045166113215-4.383307123591663j),(28.525327641958334-30.149071459261364j),(17.143113657792583-15.988154591577398j),(1.5033905785393529-15.875996943411707j),(-7.302144239400501+2.7262928044855954j),(-0.48617177020318536-7.585943144642172j),(8.893596357055856-3.928097020756894j),(10.362107903821272-5.356832195225245j),(-25.536992186407403+28.610075096364923j),(9.834100729672699-12.890690359841514j),(5.777204423429773-3.3991879800100797j),(-7.828324726841009+11.004029133237994j),(-22.798764279688527+18.103163229242412j),56.7
(2.42174741973551-2.218484681472753j),(-4.851439074710953+5.373515116872518j),(-6.1041389107329636+8.80079846878425j),(3.1639882780015327+1.0409677626157503j),(42.62204433149431-58.11436787764453j),(22.02935548564625-33.220038446432824j),(15.747490500977037-38.355378904088255j),(0.06502950630633109+4.160877430299131j),(5.013864637177981-4.5853924832297395j),(28.59017389361373-29.80566824487721j),(17.392773434133076-17.216416560474052j),(1.2018597840157792-15.65930380591378j),(-6.392397431147991+3.5976495081484785j),(-0.8013841093306482-7.438901694700633j),(8.497639892695926-3.718026769860508j),(10.439178326672248-4.828577450287341j),(-25.35299582828891+28.2515892135444j),(10.616502336209038-12.538308641930527j),(5.795575425096895-3.44457715298896j),(-8.059371192854236+10.911302044510123j),(-23.111541636682517+18.357410970465338j),56.800000000000004
