Fp1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,CP5,CP1,CP2,CP6,P7,Frequência
(427.5675915210598-58.662206102585984j),(273.4847230184686-118.55561119197931j),(140.04238652183295-676.2574392877843j),(191.44199508098865-4.739465903357312j),(-15470.343189405467-12916.02584670147j),(7743.190198140398+2163.2748879263318j),(-108.96141510103871+236.62601014530404j),(-423.18616283018645+94.70773377737737j),(74.76656804409932+290.78523609073153j),(1812.1712788303635+2483.205950672389j),(592.8627638792665+76.45754001118242j),(216.78006566425788+213.7385928652132j),(238.43798056974535-345.7386399029863j),(279.43142250132826-19.115248275470524j),(-68.25737305272352+361.7667613142655j),(457.2859599720679-424.62920732269407j),(778.9173629837904-1595.338294596828j),(253.97626888617353-502.2260513151979j),(96.69335033335662+23.217412426500687j),(-20.896929237053712+39.45463547417304j),(1413.0417819263798-1071.8875502469887j),1.0
(450.0561487725321+290.38059814023086j),(155.66063547703519+767.7985218445928j),(-190.43193087964556-1088.864196781206j),(346.92026896409834-136.77467630702776j),(-2985.3359297766438-7624.85058244781j),(11905.418233870365+3743.4584053589874j),(369.19407116307775+228.6585314856833j),(502.87451909479705-551.9954897568693j),(-291.2324566534825+89.14926664522531j),(2919.82825395877+4459.90171612472j),(-471.8274521445616+216.10018137212245j),(153.61497795824357-238.63704515173396j),(-229.19157742562885+220.23289993040947j),(188.40864334427025+379.3844281500028j),(106.18203087582086+98.1783853245468j),(-287.54510791962764-59.318910227021284j),(979.4177119554323-990.1424261895609j),(-713.1116211345102+38.91623014566741j),(97.97544282663894-295.3145365962232j),(-188.93403698710136-85.25745710646214j),(712.6208243762093-1379.5995471128158j),1.1
(-352.4176885497235-120.66328832160481j),(242.37593722420226+411.6260372126845j),(-645.2216789901323-858.1999085786513j),(-2.8894483627189835-40.12281157251809j),(6352.916665157111-5021.891465280515j),(31140.43314585997+9243.828455904062j),(323.3260421304217+355.4631385433523j),(-35.58243831958254+216.62921169262114j),(-127.20250705955075+32.51111886442826j),(6295.6228099857235+10021.60937908893j),(226.0885745958992+196.93219930571692j),(-173.5090430289067-102.57900417513301j),(-908.213541699969-404.302947356804j),(192.73380619486903+143.72927049453614j),(-202.53966256164148-242.81160831079427j),(7.966547138330981-473.6280498179866j),(871.2724540616218-1613.6454243550304j),(250.641642623122+285.93099234508696j),(132.86031771087258-70.32948248745694j),(310.6735263297229-141.5687976784903j),(1499.7190666212541-1624.914919338526j),1.2000000000000002
(117.21750920269763-496.76067913090185j),(440.9929477018806-69.08406412385119j),(254.12316692942625+368.9810957425992j),(-2.1996110961178648-134.92669516741088j),(34286.3288756867-2591.131744279402j),(-45007.61387390675-15803.608550792202j),(728.8930221529586+873.2218819484469j),(726.3525610355703-396.8710053830197j),(-120.316934102647+245.35222810628431j),(-30129.128391176593-53567.708989354294j),(112.30813082962811-66.57101064644702j),(-284.46948039945914+349.5594384485775j),(346.3664509216727+156.86907234911556j),(317.2389074957773-298.0492242717965j),(-252.72714150790705+226.88173004329408j),(25.34373432156906+236.62315214843915j),(1702.3510683930813-1312.6102690592943j),(-186.8223101381634+1108.6888690268477j),(216.41947909323258-253.15548234834654j),(230.39318405385347-27.400437480458606j),(1765.905786366936-2448.473493950828j),1.3
(284.36183873204516-300.86683549365046j),(-238.66502767712615+253.59830575325935j),(-396.61597365011346+309.1636268750774j),(-206.14642718980878+168.71381225140857j),(-45697.82827768614-6061.502994239538j),(-12078.3429291771-4476.612852231183j),(870.7510802611677+905.1648289705872j),(562.1791036726742-209.11854251136276j),(-55.01533822655929+155.05907996108695j),(-4334.739459936212-7611.341229881952j),(-300.66347838489116-407.0794559442985j),(-247.37626959556562-32.87481596458588j),(-747.1097223184634+201.18975596138293j),(135.13507995238302-38.72699255438903j),(70.24588142446373-134.73507060223062j),(-353.31042914241186+323.8660493299389j),(2046.7966194504584-2914.5355081877838j),(470.7425179050015+374.6811021617782j),(257.64794582591617+14.679997343547459j),(79.38271076626239-292.3723561178198j),(2983.1874202211684-4221.606093882114j),1.4000000000000001
(-56.28382741212221+298.33817065029007j),(-0.17522083725907045-76.57354178686218j),(-487.1724563935459+9.31459801493018j),(169.17823459362086-355.175272893508j),(-16757.030583088344-4179.288653137122j),(-7134.889428097201-2162.371910647933j),(972.3170374184534+1165.0481295875938j),(-209.97028360226537+494.4587671050219j),(244.170943273565-306.27070879531755j),(-1888.7791036494364-4545.246180081656j),(-323.86894105395015-268.66737443309256j),(366.4897606207566-120.22391245988452j),(196.73849930444698+461.24326258006715j),(248.1074627872694-330.02856988706776j),(-270.5630494537062+140.49634147124746j),(444.41517295650374+1.11985022188599j),(2600.2357948195427-3675.3529654651993j),(-528.3648105585801-41.46842732964328j),(-2.2539829159650804-177.61056054427613j),(-20.89643542926019+55.89392956607528j),(4559.892499304332-7947.75525997784j),1.5
(6.860602772941252+58.74629491849467j),(-167.71366480355357-166.44941396859173j),(-404.09787239015384-577.6881940739795j),(253.44870148545715+208.68925244289903j),(-10490.627421485737-3625.605985305366j),(-5188.529040392274-2046.8492075646777j),(508.4159670708393+1314.5368464132687j),(-634.2615195546202-476.75904464136454j),(335.5501075904904+328.46041316503727j),(-1217.9583080010414-3012.5790023232116j),(26.76214218559869+318.9113185884095j),(-284.26558879579676+491.1964315776651j),(-45.820112513065865+361.59294271343026j),(-5.383219848978774+294.3960095112251j),(-289.41303523524886+6.93038822490303j),(311.6048508576486-36.416122030643805j),(4327.187065852086-7142.426604052471j),(309.72377069283345+244.51795667968625j),(-230.31078156062335+81.51529118172334j),(-119.65686886767861+188.11850033849208j),(31061.47202319342-52351.207319098095j),1.6
(339.9831708677464+115.13586930621514j),(125.57070186591784+89.41996019956235j),(765.3219604666567+740.447523800268j),(-191.63109302937207-41.014874917810204j),(-7517.308945426348-2587.506276242357j),(-3517.3858717354797-1082.6230787238023j),(1328.0448542428398+2423.1119793012977j),(-292.03472124744485+272.347310111296j),(250.64006788171727-238.2661271870662j),(-866.3701237964103-2534.4406906243285j),(303.3705304021372+491.31285858337554j),(-33.9185785649579+448.3304057663602j),(-483.9864299126406+705.5808093178684j),(117.4348618630469-251.95554263220984j),(204.12533558697706+3.1801873579988147j),(-96.67697275668502+448.51256634979825j),(30075.10883420938-52696.60078733185j),(339.0371821928327+524.330600016267j),(188.34742130337364+253.84216646499408j),(-110.030096744997+80.98458405094871j),(-6364.932323702739+10847.636951755509j),1.7000000000000002
(3.7974737862894212-690.5074369193467j),(62.33949193043739-65.62702314381735j),(-364.122994822688-631.834531879528j),(242.7372629164399-407.91006400659j),(-6064.717252551569-2723.3273704106277j),(-2206.8879157550446-1454.1081588263523j),(1889.870530889433+3723.361274417008j),(356.8263631569019+19.637135428804676j),(-111.32038821094744+10.62973546992397j),(-731.6832322208891-1753.600659553382j),(36.97368588971391-89.41064791849521j),(41.45205071363792-221.55340923841948j),(-104.29933709684843+10.263181002969961j),(-407.7661366496766+188.86201263859851j),(-251.50152940531285-197.7461691759913j),(-134.21570686251908+24.959546144866902j),(-5801.910814197895+10942.353067488344j),(-294.1320052102376+221.6288415632764j),(54.63426297713197+77.41489759371217j),(-236.00863320594078-298.6200874407935j),(-2831.3020867217633+5315.741958298489j),1.8
(25.993640818699806-66.17494725937806j),(575.0057495908135+270.887014326614j),(41.978858111125405-354.11718364567207j),(-27.942302109739884-179.5250364239959j),(-5079.395394727411-2518.7500109697594j),(-2130.250861730037-1032.8036810242975j),(3055.990840937562+7544.581610213716j),(412.99110648129965+276.6263058437461j),(-343.8882290510029+187.02721764817653j),(-655.432913768388-1819.2594695876553j),(-55.88636787726036-48.18252959979776j),(637.6052291990546-751.125674669283j),(-570.6262477955561-36.52122390825318j),(-391.40332767879306+244.73492074916896j),(-77.52883669898901+171.90984839683722j),(118.6799804717726-245.09957617463502j),(-2519.9559694460895+5355.05936265403j),(-209.75435115952644-233.2468397472315j),(-157.81104797660538-72.56122634301488j),(-57.37200668016531-95.30425433414473j),(-1182.8357794478597+3777.080507726455j),1.9000000000000001
(-501.58253248386285-22617.494931869518j),(685.523699310635+97.4734607357073j),(544.4639832333737+397.2007227588956j),(91.03980521523013+252.23475246870038j),(-4493.781350326339-2490.5358171570315j),(-2020.7664894785967-23684.17428710806j),(-23139.688489731045-57903.51564732935j),(172.1704921087254-609.1156808811172j),(-163.78187002072963-212.0314701005405j),(-573.6405575988219-1534.156588797041j),(-85.66361247879902-22780.84749921868j),(-62.825789132396864+36.62714720313062j),(-121.61406450866525+3.985128840934987j),(-331.5624831274141+171.7037087714005j),(-84.9711655319031+164.8778649222807j),(-118.34807252557778-22626.24344806846j),(-1286.6079532641693+2839.7170607208764j),(-562.3727033062114-139.78257057953445j),(-159.57500930760682+110.82228767157372j),(-295.80979998638264+107.13312269648605j),(-1001.2473442388734-20132.7725634838j),2.0
(176.6817641864025+60.194530702862295j),(-106.81631854979943-338.9366379391261j),(-536.3355048794742+147.5104814020578j),(479.7302770061798-271.4118125551716j),(-3641.056169715218-1986.8313360480697j),(-1599.1359028988318-802.4645449908126j),(-2588.501620069145-6252.175889230515j),(-203.61508473160495+43.327917638297805j),(247.0972570572798-118.91324072893167j),(-497.88940633457867-1100.985754698003j),(299.563938713743+102.0726367739279j),(-78.64874279504835-212.2828308685553j),(420.2986850089244+424.4477054462159j),(-40.41437170262172+114.04626735007427j),(-343.7198228663555+35.545440402176155j),(23.74417269839646-64.92436107845948j),(-1016.5101884300245+2562.58795224881j),(189.3358132991517+878.980353323953j),(50.37905810770174-74.57821994258003j),(265.22573159239533-42.84110332943625j),(-829.8877458478524+1576.5592924543994j),2.1
(-135.39967999130567+36.513565447228274j),(-156.92855053924367+225.50256576303457j),(488.2656003572326+63.477493127573695j),(96.31029291658817-60.841929606256706j),(-3326.04036214307-2058.8117925189226j),(-1229.3359345331462-531.3407081043614j),(-1283.3236047694857-2951.5875568577158j),(-99.75433642561697+97.6994588123892j),(303.22465203762806-65.08111089430597j),(-147.01003337856332-981.5537041803359j),(103.76971510456364+437.95942023465386j),(-7.367678947780712+122.42589538296073j),(225.75010084217666+100.3219298185856j),(-32.86000390037816+196.5526794316255j),(-2.7154096876091405-52.285364954680844j),(227.53993406533783+329.93841914592326j),(-682.3497680316985+1901.515110306402j),(637.5376919588391-703.5993379354833j),(-84.92559972482684+256.00196959979894j),(-88.79040775761779-54.722400475699295j),(-833.7225553381118+2054.9987965960536j),2.2
(-466.1000258827444+300.02157113003636j),(-108.30878080489734-269.9846198154525j),(624.8441750930793+180.69639172136272j),(113.70066590059699+35.37365692434331j),(-3141.797518907615-1813.8025061554638j),(-1140.0778157813938-933.077662186082j),(-776.6583337636507-2652.6459667394192j),(227.29826544668882-177.69999573136624j),(-258.5211999771479+71.79520445164621j),(-293.57800185075916-850.0162899886909j),(85.74628606950853-320.32552926167637j),(-48.89179219131425+260.36378353012446j),(220.8574538792243+432.49832443293855j),(-92.82709933281016+288.85710717223077j),(-20.224003901311-164.60621291093508j),(-26.436516448592247-116.08826521249935j),(-801.6758774130465+1656.8378271496526j),(-572.9266562061921+78.7423575047616j),(66.20334667553465+214.91754037101083j),(8.546288146669927+4.932538663207302j),(-804.451432124948+1448.0556200155677j),2.3000000000000003
(120.78706375282752-50.54036804052667j),(247.5561491925967-161.0487223932405j),(-215.53624457837157-80.08847720571612j),(-395.98952921461563+98.76244082261144j),(-2379.804050103551-1675.7428444047705j),(-1076.7431231643131-756.4063323429568j),(-666.1588329134345-1929.2019180438087j),(-651.5490695917551-465.22845980612584j),(135.23687522711091+220.6681502204509j),(-102.1118159030304-705.9201194444066j),(-209.77856118276725-143.91997300967967j),(-118.26429305171294+124.75539365613702j),(-867.0695947242351+252.4617909964903j),(193.35399433662252+8.560371061328935j),(-262.9005127844712-62.04070740456996j),(-149.73902644963027+140.28898237348116j),(-1036.9756311224512+858.1326322472073j),(-690.2271797477125+584.0870342985379j),(-363.8516308037272+71.14681456045365j),(158.54143140620175-49.23460402022756j),(-883.3020194281157+1004.361029604065j),2.4000000000000004
(-157.85251722764997-322.4697015333777j),(318.62523209926087+13.61812235547063j),(-330.7997338019459-270.8336747835619j),(181.70142643256136-254.93422488143216j),(-2452.9069544755976-1535.168536300325j),(-595.0236973171029-769.6099139639217j),(-564.6386515377824-1353.9929303090798j),(-207.83013043825173-325.03881954557846j),(-162.72787561700335+176.54618514983775j),(98.26110540818415-742.6878080532808j),(438.3416811518459-60.04784376929636j),(-118.06217244970864-6.632783298488519j),(-55.15811465139884+199.33554653489693j),(143.3352420912742+182.35951744641687j),(221.6289856424622-106.13163523654134j),(-267.3543140764195+56.644117398546584j),(-212.6767493676905+1651.5307772128133j),(370.9645785448067-708.915552056237j),(3.8987400387204403+257.669009468916j),(64.48345016317631+156.90994897835975j),(-343.4254220679225+1131.8537476039585j),2.5
(495.6700803801517-234.6950902323578j),(-46.61186042246226-131.69950805893941j),(69.82983968306456-252.20865102085227j),(396.24760143937226+130.62662769332698j),(-2236.17941938279-1303.8844072921252j),(-518.6511670504638-139.23296753803243j),(-743.7617116616716-1952.437231314726j),(-118.96363749899777-439.02929112175434j),(422.69093008799877+84.94693228597153j),(-196.68280330488903-588.6557268065208j),(-43.737607112505096+177.82250258643373j),(-235.23292968285608-311.7144783721965j),(-309.0461292007619-435.54604516158923j),(-86.4042700851685+78.04791423602587j),(56.424655320462655-182.05232918467289j),(-440.1644965140018-221.47070717392933j),(-456.5885901839536+1067.1753461298583j),(-805.9615784852436-258.7583114323153j),(-252.9103832324278-126.62976514730283j),(41.00543543105775+19.570386371066725j),(-119.80883314689412+999.0782499752175j),2.6
